id,name,type,country,region,date,lat,lon,severity,affected_people,deaths,status,summary
1,Nepal Earthquake 2015,Earthquake,Nepal,Gorkha,2015-04-25,28.2380,84.7314,Critical,8000000,8964,Past,"7.8 magnitude earthquake struck central Nepal, devastating Kathmandu Valley and surrounding districts, triggering avalanches on Everest and landslides across the Himalayas."
2,Kerala Floods 2018,Flood,India,Kerala,2018-08-16,10.8505,76.2711,Critical,5400000,483,Past,"Heaviest monsoon rainfall in nearly a century caused severe flooding across Kerala, affecting all 14 districts and triggering major landslides."
3,Odisha Cyclone Fani 2019,Cyclone,India,Odisha,2019-05-03,19.8135,85.8312,Critical,1600000,89,Past,"Extremely severe cyclonic storm made landfall near Puri with wind speeds up to 200 km/h, one of the strongest storms to hit Odisha in 20 years."
4,Uttarakhand Flash Flood 2021,Flood,India,Chamoli,2021-02-07,30.4000,79.5500,High,3000,204,Past,"Glacial burst triggered a flash flood in the Rishiganga and Dhauliganga rivers, destroying hydropower projects and villages."
5,Sikkim Glacial Lake Outburst 2023,Flood,India,Sikkim,2023-10-04,27.5330,88.5122,High,88000,179,Past,"South Lyonak glacial lake outburst caused flash floods along the Teesta river, damaging the Chungthang dam and downstream settlements."
6,Gujarat Earthquake 2001,Earthquake,India,Bhuj,2001-01-26,23.4162,69.6293,Critical,6000000,20000,Past,"7.7 magnitude earthquake centered near Bhuj, one of the deadliest earthquakes in Indian history."
7,Maharashtra Heatwave 2024,Heatwave,India,Vidarbha,2024-05-20,20.9320,77.7523,Medium,1200000,45,Past,"Prolonged extreme heat conditions across central India with temperatures exceeding 45C for multiple days."
8,Assam Flood 2024,Flood,India,Assam,2024-07-02,26.2006,92.9376,High,2400000,78,Past,"Annual monsoon flooding of the Brahmaputra river system inundated large parts of Assam, displacing lakhs of residents."
9,Turkey-Syria Earthquake 2023,Earthquake,Turkey,Gaziantep,2023-02-06,37.1662,37.0360,Critical,9000000,55000,Past,"7.8 magnitude earthquake followed by a 7.5 aftershock devastated southern Turkey and northern Syria."
10,Himachal Pradesh Landslides 2023,Landslide,India,Shimla,2023-08-14,31.1048,77.1734,High,45000,80,Past,"Torrential monsoon rains triggered widespread landslides across Himachal Pradesh, damaging roads and residential areas."
